Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2009-06-30,6751000000.0,-4705000000.0,2046000000.0,-1738000000.0,-381000000.0,-312000000.0,-558000000.0,308000000.0,-16000000.0,-95000000.0,292000000,-75000000.0,217000000,-115000000.0,102000000,,100000000,100000000,1063000000.0,4097000000.0,1358000000.0,7508000000.0,16421000000.0,,4987000000.0,21408000000.0,28916000000,7478000000.0,135000000.0,7613000000.0,4178000000.0,8925000000.0,16538000000,2742000000.0,,11617000000.0,12378000000.0,28916000000,102000000.0,558000000.0,68000000.0,-112000000.0,,,,,616000000.0,-685000000.0,,,-667000000.0,-33000000.0,-15000000.0,,-43000000.0,-94000000,2009-06-30,53.9900016784668,54.849998474121094,52.5,53.75,45.48006820678711,6069400.0
2009-09-30,7270000000.0,-5069000000.0,2201000000.0,-1684000000.0,-388000000.0,-167000000.0,-626000000.0,517000000.0,66000000.0,-97000000.0,583000000,-49000000.0,534000000,-182000000.0,352000000,,341000000,341000000,957000000.0,3552000000.0,1424000000.0,6926000000.0,16646000000.0,,4865000000.0,21511000000.0,28437000000,6332000000.0,136000000.0,6468000000.0,4243000000.0,8962000000.0,15430000000,2775000000.0,,11926000000.0,13007000000.0,28437000000,352000000.0,572000000.0,216000000.0,-606000000.0,,,,,534000000.0,-604000000.0,,,-610000000.0,-33000000.0,1000000.0,,-30000000.0,-106000000,2009-09-30,54.20000076293945,54.290000915527344,52.599998474121094,53.459999084472656,45.31798553466797,4725300.0
2009-12-31,8678000000.0,-6005000000.0,2673000000.0,-1697000000.0,-469000000.0,-157000000.0,-530000000.0,976000000.0,-147000000.0,-91000000.0,829000000,-118000000.0,711000000,-341000000.0,370000000,,358000000,358000000,1362000000.0,3650000000.0,1438000000.0,7987000000.0,16627000000.0,,4851000000.0,21478000000.0,29465000000,6702000000.0,148000000.0,6850000000.0,4319000000.0,9087000000.0,15937000000,2808000000.0,,12251000000.0,13528000000.0,29465000000,370000000.0,584000000.0,71000000.0,246000000.0,,,,,1271000000.0,-925000000.0,,,-957000000.0,0.0,88000000.0,,91000000.0,405000000,2009-12-31,61.33000183105469,61.52000045776367,60.40999984741211,60.5,51.37559509277344,1384600.0
2010-03-31,9259000000.0,-6540000000.0,2719000000.0,-1630000000.0,-408000000.0,-151000000.0,-542000000.0,1089000000.0,-38000000.0,-84000000.0,1051000000,-85000000.0,966000000,-398000000.0,568000000,,538000000,538000000,1370000000.0,4503000000.0,1405000000.0,8780000000.0,16536000000.0,,4633000000.0,21169000000.0,29949000000,7133000000.0,32000000.0,7165000000.0,4303000000.0,8757000000.0,15922000000,2843000000.0,,12761000000.0,14027000000.0,29949000000,568000000.0,542000000.0,147000000.0,-432000000.0,,,,,825000000.0,-605000000.0,,,-622000000.0,-66000000.0,-142000000.0,,-195000000.0,8000000,2010-03-31,62.22999954223633,63.1500015258789,61.79999923706055,62.54999923706055,53.2032470703125,2894800.0
2010-06-30,7732000000.0,-5316000000.0,2416000000.0,-1654000000.0,-404000000.0,-172000000.0,-558000000.0,762000000.0,-59000000.0,-83000000.0,703000000,-6000000.0,697000000,-301000000.0,396000000,,375000000,375000000,1363000000.0,3871000000.0,1628000000.0,8296000000.0,16535000000.0,,4669000000.0,21204000000.0,29500000000,6297000000.0,33000000.0,6330000000.0,4293000000.0,8640000000.0,14970000000,2863000000.0,,13105000000.0,14530000000.0,29500000000,396000000.0,558000000.0,66000000.0,-39000000.0,,,,,981000000.0,-901000000.0,,,-920000000.0,-32000000.0,-15000000.0,,-68000000.0,-7000000,2010-06-30,51.02999877929688,51.86000061035156,50.209999084472656,50.34000015258789,42.898048400878906,4065400.0
2010-09-30,7864000000.0,-5330000000.0,2534000000.0,-1706000000.0,-383000000.0,-225000000.0,-584000000.0,828000000.0,1078000000.0,-94000000.0,1906000000,-615000000.0,1291000000,-200000000.0,1091000000,,1154000000,1154000000,2353000000.0,3939000000.0,1682000000.0,8839000000.0,19084000000.0,,5562000000.0,24646000000.0,33485000000,6524000000.0,43000000.0,6567000000.0,5541000000.0,11090000000.0,17657000000,2878000000.0,,14229000000.0,15828000000.0,33485000000,1091000000.0,584000000.0,-565000000.0,136000000.0,,,,,1246000000.0,-1462000000.0,,,-1451000000.0,-33000000.0,1250000000.0,,1195000000.0,990000000,2010-09-30,59.349998474121094,59.790000915527344,58.13000106811523,59.11999893188477,50.47180938720703,3426000.0
2010-12-31,9007000000.0,-6221000000.0,2786000000.0,-2012000000.0,-488000000.0,-317000000.0,-633000000.0,774000000.0,-1277000000.0,-100000000.0,-503000000,860000000.0,357000000,-274000000.0,83000000,,58000000,58000000,1608000000.0,4478000000.0,1452000000.0,8780000000.0,21127000000.0,,5489000000.0,26616000000.0,35396000000,7567000000.0,46000000.0,7613000000.0,5537000000.0,10974000000.0,18587000000,3594000000.0,,14254000000.0,16809000000.0,35396000000,83000000.0,633000000.0,318000000.0,444000000.0,,,,,1478000000.0,-2341000000.0,,,-2266000000.0,0.0,5000000.0,,43000000.0,-745000000,2010-12-31,76.44000244140625,76.9000015258789,75.8499984741211,76.54000091552734,65.43299865722656,1286900.0
2011-03-31,10215000000.0,-7040000000.0,3175000000.0,-1891000000.0,-447000000.0,-313000000.0,-558000000.0,1284000000.0,-94000000.0,-99000000.0,1190000000,295000000.0,1485000000,-511000000.0,974000000,,929000000,929000000,1968000000.0,4917000000.0,1552000000.0,9436000000.0,21759000000.0,,5442000000.0,27201000000.0,36637000000,7316000000.0,35000000.0,7351000000.0,5517000000.0,11169000000.0,18520000000,3671000000.0,,15151000000.0,18117000000.0,36637000000,974000000.0,558000000.0,-72000000.0,-325000000.0,,,,,1135000000.0,-723000000.0,,,-734000000.0,-68000000.0,-31000000.0,,-41000000.0,360000000,2011-03-31,84.76000213623047,86.11000061035156,84.62999725341797,85.20999908447266,72.93260192871094,3645900.0
2011-06-30,9853000000.0,-6841000000.0,3012000000.0,-1907000000.0,-421000000.0,-257000000.0,-588000000.0,1105000000.0,-95000000.0,-97000000.0,1010000000,-49000000.0,961000000,-392000000.0,569000000,,607000000,607000000,2194000000.0,4133000000.0,1432000000.0,8886000000.0,22528000000.0,,5577000000.0,28105000000.0,36991000000,6761000000.0,35000000.0,6796000000.0,5506000000.0,11291000000.0,18087000000,3713000000.0,,15725000000.0,18904000000.0,36991000000,569000000.0,588000000.0,224000000.0,308000000.0,,,,,1689000000.0,-1375000000.0,,,-1421000000.0,-34000000.0,-14000000.0,,-42000000.0,226000000,2011-06-30,74.02999877929688,75.1500015258789,73.54000091552734,74.76000213623047,64.07775115966797,4905300.0
2011-09-30,8665000000.0,-6181000000.0,2484000000.0,-1880000000.0,-443000000.0,-199000000.0,-586000000.0,604000000.0,-100000000.0,-94000000.0,504000000,-291000000.0,213000000,54000000.0,267000000,,298000000,298000000,827000000.0,3828000000.0,1516000000.0,7479000000.0,24167000000.0,,5693000000.0,29860000000.0,37339000000,6562000000.0,44000000.0,6606000000.0,5548000000.0,11819000000.0,18425000000,3709000000.0,,15991000000.0,18914000000.0,37339000000,267000000.0,586000000.0,180000000.0,-11000000.0,,,,,1022000000.0,-2303000000.0,,,-2320000000.0,-34000000.0,9000000.0,,-69000000.0,-1367000000,2011-09-30,54.22999954223633,54.7599983215332,52.43000030517578,52.459999084472656,45.0387077331543,4169900.0
2011-12-31,-7282000000.0,9534000000.0,2252000000.0,-1669000000.0,-116000000.0,-426000000.0,-641000000.0,583000000.0,-62000000.0,-93000000.0,521000000,-940000000.0,-419000000,140000000.0,-279000000,145000000.0,-131000000,-131000000,351000000.0,4761000000.0,1423000000.0,8339000000.0,24712000000.0,,6085000000.0,30797000000.0,39136000000,8048000000.0,52000000.0,8100000000.0,6005000000.0,12444000000.0,20544000000,3757000000.0,,15826000000.0,18592000000.0,39136000000,-279000000.0,641000000.0,779000000.0,-77000000.0,,,,,1138000000.0,-2050000000.0,,,-2091000000.0,0.0,458000000.0,,477000000.0,-476000000,2011-12-30,56.52000045776367,57.22000122070313,56.4900016784668,56.79999923706055,48.85408401489258,1902700.0
2012-03-31,2896000000.0,-270000000.0,2626000000.0,-1720000000.0,-132000000.0,-253000000.0,-662000000.0,906000000.0,-75000000.0,-104000000.0,831000000,36000000.0,867000000,-328000000.0,539000000,21000000.0,545000000,545000000,396000000.0,4743000000.0,1411000000.0,8212000000.0,26052000000.0,,6383000000.0,32435000000.0,40647000000,8153000000.0,38000000.0,8191000000.0,6940000000.0,13299000000.0,21490000000,3783000000.0,,16337000000.0,19157000000.0,40647000000,539000000.0,662000000.0,-21000000.0,-213000000.0,,,,,988000000.0,-1724000000.0,,,-1772000000.0,-68000000.0,889000000.0,,829000000.0,45000000,2012-03-30,58.83000183105469,59.27999877929688,58.13999938964844,58.95000076293945,50.78390884399414,2663800.0
2012-06-30,3324000000.0,-332000000.0,2992000000.0,-1763000000.0,-144000000.0,-196000000.0,-746000000.0,1229000000.0,-108000000.0,-105000000.0,1121000000,-59000000.0,1062000000,-522000000.0,540000000,-5000000.0,549000000,549000000,409000000.0,4187000000.0,1309000000.0,7925000000.0,26556000000.0,,6133000000.0,32689000000.0,40614000000,6785000000.0,299000000.0,7084000000.0,7546000000.0,13571000000.0,20655000000,3812000000.0,,16854000000.0,19959000000.0,40614000000,540000000.0,746000000.0,267000000.0,-343000000.0,,,,,1240000000.0,-1937000000.0,,,-1993000000.0,-34000000.0,803000000.0,,766000000.0,13000000,2012-06-29,42.20000076293945,43.45000076293945,42.0099983215332,43.45000076293945,37.51803588867188,6944800.0
