Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2009-06-30,406475000.0,-134538000.0,271937000.0,-91838000.0,-8199000.0,,-83639000.0,180099000.0,33315000.0,-7288000.0,213414000,,213414000,,213414000,-8027000.0,199172000,135487000,584860000.0,550499000.0,,1135359000.0,7695141000.0,,873336000.0,8568477000.0,9703836000,219697000.0,,219697000.0,524440000.0,524440000.0,744137000,5690038000.0,,-258732000.0,8959699000.0,9703836000,205387000.0,84284000.0,-24690000.0,17402000.0,,,,17402000.0,282383000.0,-27681000.0,0.0,,-27679000.0,0.0,-1856000.0,214000.0,-163470000.0,91460000,2009-06-30,64.41999816894531,66.05999755859375,63.959999084472656,65.48000335693361,43.72042083740234,1927500.0
2009-09-30,412087000.0,-128468000.0,283619000.0,-94324000.0,-8654000.0,,-85670000.0,189295000.0,22964000.0,-7289000.0,212259000,30573000.0,242832000,,242832000,1119000.0,237309000,173493000,670928000.0,571783000.0,,1242711000.0,7633972000.0,,932692000.0,8566664000.0,9809375000,236461000.0,,236461000.0,521662000.0,521662000.0,758123000,5694207000.0,,-177603000.0,9051252000.0,9809375000,243951000.0,86624000.0,-50231000.0,14937000.0,,,,14937000.0,295281000.0,-24767000.0,,-17825000.0,-46090000.0,0.0,-1855000.0,1130000.0,-163107000.0,86068000,2009-09-30,76.19999694824219,76.97000122070312,74.48999786376953,75.23999786376953,50.62800979614258,1747000.0
2009-12-31,400118000.0,-114988000.0,285130000.0,-94847000.0,-9203000.0,,-85644000.0,190283000.0,-3239000.0,-7211000.0,187044000,131000.0,187175000,,187175000,514000.0,181138000,117491000,763789000.0,561703000.0,,1325492000.0,7562033000.0,,918120000.0,8480153000.0,9805645000,212253000.0,,212253000.0,518889000.0,518889000.0,731142000,5697391000.0,,-153759000.0,9074503000.0,9805645000,187689000.0,86019000.0,9165000.0,-7545000.0,,,,-7545000.0,275328000.0,-11907000.0,-17825000.0,17825000.0,-16249000.0,0.0,-1903000.0,293000.0,-165755000.0,92861000,2009-12-31,82.91000366210938,84.01000213623047,81.37999725341797,81.44999694824219,55.201904296875,1081200.0
2010-03-31,397447000.0,-140770000.0,256677000.0,-94794000.0,-10077000.0,,-84717000.0,161883000.0,-32221000.0,-7339000.0,129662000,-278000.0,129384000,,129384000,533000.0,123961000,34738000,815173000.0,527243000.0,,1342416000.0,7487539000.0,,914516000.0,8402055000.0,9744471000,201416000.0,,406782000.0,516132000.0,516132000.0,922914000,5504023000.0,,-202998000.0,8821557000.0,9744471000,129917000.0,84886000.0,37826000.0,-19507000.0,,,,-19507000.0,233122000.0,-8734000.0,-95248000.0,,-106203000.0,,-1965000.0,11822000.0,-169861000.0,-43807000,2010-03-31,92.6500015258789,93.18000030517578,91.91999816894531,91.98999786376952,62.81019973754883,1493800.0
2010-06-30,407645000.0,-137233000.0,270412000.0,-94960000.0,-10081000.0,,-84879000.0,175452000.0,-47694000.0,-7278000.0,127758000,-992000.0,126766000,,126766000,4410000.0,125038000,60837000,569224000.0,477031000.0,,1046255000.0,7618396000.0,,904862000.0,8523258000.0,9569513000,231759000.0,,231759000.0,593275000.0,593275000.0,825034000,5516349000.0,,-272485000.0,8744479000.0,9569513000,131176000.0,85205000.0,49271000.0,26838000.0,,,,26838000.0,292490000.0,-92264000.0,0.0,,-78700000.0,-155000000.0,-53216000.0,154609000.0,-459081000.0,-245646000,2010-06-30,89.43000030517578,90.1500015258789,87.58999633789062,87.91000366210938,60.55677795410156,1772300.0
2010-09-30,422295000.0,-134514000.0,287781000.0,-101493000.0,-8910000.0,,-92583000.0,186288000.0,56660000.0,-7838000.0,242948000,,242948000,,242948000,2863000.0,239354000,182206000,615610000.0,515379000.0,,1130989000.0,7592060000.0,,928361000.0,8520421000.0,9651410000,243629000.0,,243629000.0,589518000.0,589518000.0,833147000,5530522000.0,,-226343000.0,8818263000.0,9651410000,245811000.0,92648000.0,-54849000.0,12492000.0,,,,12492000.0,296102000.0,-57707000.0,-9580000.0,,-55139000.0,-9200000.0,-2394000.0,10387000.0,-200778000.0,39143000,2010-09-30,97.95999908447266,98.58999633789062,96.7300033569336,97.04000091552734,67.37358093261719,1713000.0
2010-12-31,386390000.0,-115887000.0,270503000.0,-100485000.0,-9419000.0,,-91066000.0,170018000.0,18135000.0,-7770000.0,188153000,1103000.0,189256000,,189256000,-46000.0,183685000,121397000,558531000.0,495229000.0,,1053760000.0,7532816000.0,,908757000.0,8441573000.0,9495333000,205769000.0,,205769000.0,568417000.0,568417000.0,774186000,5532754000.0,,-236410000.0,8721147000.0,9495333000,189210000.0,91647000.0,15858000.0,-25208000.0,,,,-25208000.0,271507000.0,-28289000.0,0.0,,-26563000.0,-108750000.0,-19517000.0,125593000.0,-302989000.0,-57227000,2010-12-31,101.44000244140624,102.27999877929688,101.23999786376952,101.41999816894531,70.9801254272461,353600.0
2011-03-31,419691000.0,-144241000.0,275450000.0,-102746000.0,-14235000.0,,-88511000.0,172704000.0,37984000.0,-6984000.0,210688000,198000.0,210886000,,210886000,-318000.0,206108000,148059000,145105000.0,871777000.0,,1016882000.0,7493647000.0,,924992000.0,8418639000.0,9435521000,210769000.0,,210769000.0,461882000.0,461882000.0,672651000,5546176000.0,,-223960000.0,8762870000.0,9435521000,210568000.0,88553000.0,-32017000.0,-2285000.0,,,,-2285000.0,264819000.0,-41706000.0,102279000.0,,-284527000.0,,-105535000.0,11373000.0,-291524000.0,-311147000,2011-03-31,109.9000015258789,111.08999633789062,109.8499984741211,110.91000366210938,78.18822479248047,646800.0
2011-06-30,434419000.0,-139229000.0,295190000.0,-101691000.0,-12593000.0,,-89098000.0,193499000.0,17333000.0,-5933000.0,210832000,-70000.0,210762000,,210762000,179000.0,206444000,131515000,144487000.0,630606000.0,,775093000.0,7464019000.0,,1033224000.0,8497243000.0,9272336000,227869000.0,,227869000.0,449519000.0,449519000.0,677388000,5535690000.0,,-237689000.0,8594948000.0,9272336000,210941000.0,89186000.0,-6714000.0,24232000.0,,,,24232000.0,317645000.0,-47078000.0,0.0,-1274000.0,90269000.0,-517500000.0,-21278000.0,365264000.0,-408939000.0,-618000,2011-06-30,113.43000030517578,114.36000061035156,112.7699966430664,114.01000213623048,81.059814453125,658800.0
2011-09-30,445563000.0,-138580000.0,306983000.0,-104937000.0,-14116000.0,,-90821000.0,202046000.0,-11971000.0,-5862000.0,190075000,2797000.0,192872000,,192872000,1641000.0,191139000,117950000,160733000.0,466349000.0,,627082000.0,7437313000.0,,1021148000.0,8458461000.0,9085543000,244462000.0,,244462000.0,418851000.0,418851000.0,663313000,5449935000.0,,-265226000.0,8422230000.0,9085543000,194513000.0,90956000.0,21720000.0,19140000.0,,,,19140000.0,326329000.0,-41120000.0,0.0,0.0,91999000.0,-524756000.0,-27598000.0,474718000.0,-401449000.0,16246000,2011-09-30,112.5199966430664,113.7699966430664,111.19000244140624,111.3499984741211,79.796875,1130800.0
2011-12-31,436215000.0,-138459000.0,297756000.0,-101005000.0,-11466000.0,,-89539000.0,196751000.0,16182000.0,-5443000.0,212933000,5690000.0,218623000,,218623000,1814000.0,220151000,164223000,139008000.0,402693000.0,,541701000.0,7379197000.0,,1011664000.0,8390861000.0,8932562000,210966000.0,,210966000.0,398314000.0,398314000.0,609280000,5459530000.0,,-259578000.0,8323282000.0,8932562000,220437000.0,89830000.0,7749000.0,-23357000.0,,,,-23357000.0,294659000.0,-22830000.0,0.0,0.0,20904000.0,-105000000.0,-19944000.0,10688000.0,-336634000.0,-21725000,2011-12-30,135.61000061035156,136.16999816894528,134.44999694824222,134.46000671386722,97.06664276123048,592300.0
2012-03-31,439835000.0,-151711000.0,288124000.0,-103229000.0,-16405000.0,,-86824000.0,184895000.0,21593000.0,-5334000.0,206488000,,206488000,,206488000,234000.0,205852000,125343000,620079000.0,414833000.0,,1034912000.0,7349109000.0,,1022291000.0,8371400000.0,9406312000,212766000.0,,689400000.0,372979000.0,372979000.0,1062379000,5430196000.0,,-296969000.0,8343933000.0,9406312000,206722000.0,86938000.0,-10200000.0,-3970000.0,,,,-3970000.0,279490000.0,-57245000.0,,,-54295000.0,-356687000.0,-24884000.0,902892000.0,256117000.0,481071000,2012-03-30,138.25999450683594,138.52999877929688,137.60000610351562,138.16999816894528,100.59133911132812,939500.0
2012-06-30,455793000.0,-142883000.0,312910000.0,-100888000.0,-12414000.0,,-88474000.0,212022000.0,-14588000.0,-5067000.0,197434000,1263000.0,198697000,,198697000,234000.0,198143000,132343000,438475000.0,391146000.0,,829621000.0,7343775000.0,,1005551000.0,8349326000.0,9178947000,226825000.0,,642450000.0,368728000.0,368728000.0,1011178000,5431736000.0,,-339020000.0,8167769000.0,9178947000,198931000.0,88588000.0,24830000.0,13938000.0,,,,13938000.0,326287000.0,-72742000.0,,,-70351000.0,-476634000.0,-3904000.0,284201000.0,-438219000.0,-181604000,2012-06-29,143.1199951171875,144.4199981689453,141.55999755859375,144.41000366210938,105.97462463378906,851000.0
