Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2009-06-30,1882000000.0,-1134000000.0,748000000.0,-528000000.0,-528000000.0,,,220000000.0,-10000000.0,-24000000.0,210000000,,210000000,-57000000.0,153000000,2000000.0,149000000,149000000,1117000000.0,1937000000.0,,15881000000.0,447000000.0,296000000.0,7814000000.0,8557000000.0,24438000000,13715000000.0,681000000.0,14859000000.0,1249000000.0,3571000000.0,18430000000,3523000000.0,-3535000000.0,7132000000.0,6008000000.0,24438000000,155000000.0,-60000000.0,160000000.0,-711000000.0,,,,-711000000.0,-456000000.0,-32000000.0,,3000000.0,683000000.0,-42000000.0,-125000000.0,34000000.0,-163000000.0,36000000,2009-06-30,37.63999938964844,38.0,37.13000106811523,37.86999893188477,32.82960891723633,2504000.0
2009-09-30,1794000000.0,-1119000000.0,675000000.0,-481000000.0,-481000000.0,,,194000000.0,-16000000.0,-29000000.0,178000000,,178000000,-47000000.0,131000000,3000000.0,120000000,120000000,1182000000.0,1844000000.0,,12926000000.0,453000000.0,297000000.0,7965000000.0,8715000000.0,21641000000,10928000000.0,12000000.0,11217000000.0,1998000000.0,4294000000.0,15511000000,3529000000.0,-3556000000.0,7189000000.0,6130000000.0,21641000000,134000000.0,,188000000.0,-238000000.0,,,,-238000000.0,84000000.0,-33000000.0,,-14000000.0,16000000.0,-41000000.0,967000000.0,53000000.0,-108000000.0,43000000,2009-09-30,41.27999877929688,41.43000030517578,40.43999862670898,40.68999862670898,35.40742111206055,2825700.0
2009-12-31,2073000000.0,-1330000000.0,743000000.0,-502000000.0,-502000000.0,,,241000000.0,-23000000.0,-31000000.0,218000000,,218000000,-56000000.0,162000000,56000000.0,198000000,198000000,639000000.0,2052000000.0,,13989000000.0,461000000.0,319000000.0,8189000000.0,8969000000.0,22958000000,12370000000.0,10000000.0,12640000000.0,1998000000.0,4887000000.0,17527000000,3578000000.0,-3859000000.0,7335000000.0,5431000000.0,22958000000,218000000.0,,188000000.0,-87000000.0,,,,-87000000.0,319000000.0,-54000000.0,,-347000000.0,-292000000.0,-41000000.0,-1457000000.0,21000000.0,-394000000.0,-363000000,2009-12-31,38.7400016784668,38.7400016784668,38.34000015258789,38.34000015258789,33.486740112304695,949700.0
2010-03-31,1904000000.0,-1163000000.0,741000000.0,-468000000.0,-468000000.0,,,273000000.0,-26000000.0,-33000000.0,247000000,,247000000,-61000000.0,186000000,0.0,178000000,178000000,734000000.0,1983000000.0,,14268000000.0,452000000.0,308000000.0,7931000000.0,8691000000.0,22959000000,12358000000.0,84000000.0,12776000000.0,2013000000.0,4726000000.0,17502000000,3498000000.0,-3725000000.0,7500000000.0,5457000000.0,22959000000,186000000.0,,106000000.0,175000000.0,,,,175000000.0,467000000.0,-33000000.0,,-47000000.0,-323000000.0,-41000000.0,25000000.0,35000000.0,14000000.0,205000000,2010-03-31,42.56999969482422,42.93999862670898,42.56999969482422,42.709999084472656,37.44694900512695,1004800.0
2010-06-30,1898000000.0,-1169000000.0,729000000.0,-461000000.0,-461000000.0,,,268000000.0,-24000000.0,-29000000.0,244000000,,244000000,-60000000.0,184000000,-26000000.0,153000000,153000000,734000000.0,1994000000.0,,15497000000.0,450000000.0,301000000.0,7708000000.0,8459000000.0,23956000000,13418000000.0,370000000.0,14138000000.0,1601000000.0,4340000000.0,18478000000,3497000000.0,-3713000000.0,7605000000.0,5478000000.0,23956000000,158000000.0,,152000000.0,106000000.0,,,,106000000.0,416000000.0,-38000000.0,,-8000000.0,-453000000.0,-41000000.0,-127000000.0,46000000.0,-128000000.0,-162000000,2010-06-30,37.58000183105469,37.790000915527344,37.060001373291016,37.11999893188477,32.65847396850586,2249800.0
2010-09-30,1801000000.0,-1050000000.0,751000000.0,-488000000.0,-488000000.0,,,263000000.0,-55000000.0,-46000000.0,208000000,,208000000,-61000000.0,147000000,0.0,144000000,144000000,2449000000.0,2086000000.0,,14612000000.0,468000000.0,301000000.0,7977000000.0,8746000000.0,23358000000,10826000000.0,610000000.0,11819000000.0,3146000000.0,5695000000.0,17514000000,3498000000.0,-3665000000.0,7700000000.0,5844000000.0,23358000000,147000000.0,,140000000.0,-376000000.0,,,,-376000000.0,-89000000.0,-44000000.0,,-25000000.0,-1512000000.0,-41000000.0,1726000000.0,17000000.0,1692000000.0,75000000,2010-09-30,39.47000122070313,39.709999084472656,39.02999877929688,39.11000061035156,34.550708770751946,5116100.0
2010-12-31,2909000000.0,-1715000000.0,1194000000.0,-754000000.0,-754000000.0,,,440000000.0,-80000000.0,-59000000.0,360000000,,360000000,-118000000.0,242000000,-1000000.0,231000000,231000000,1131000000.0,2701000000.0,,14519000000.0,781000000.0,312000000.0,13370000000.0,14463000000.0,28982000000,11873000000.0,492000000.0,12949000000.0,4014000000.0,7727000000.0,20676000000,4386000000.0,-2079000000.0,7861000000.0,8306000000.0,28982000000,241000000.0,,247000000.0,-499000000.0,,,,-499000000.0,-11000000.0,-65000000.0,,-1998000000.0,-251000000.0,-52000000.0,215000000.0,96000000.0,245000000.0,11000000,2010-12-31,45.77999877929688,46.040000915527344,45.77999877929688,46.0099983215332,40.79604721069336,1360900.0
2011-03-31,2759000000.0,-1597000000.0,1162000000.0,-764000000.0,-764000000.0,,,398000000.0,-42000000.0,-57000000.0,356000000,,356000000,-103000000.0,253000000,2000000.0,246000000,246000000,1271000000.0,2650000000.0,,15211000000.0,791000000.0,318000000.0,13482000000.0,14591000000.0,29802000000,12153000000.0,502000000.0,13259000000.0,4409000000.0,8056000000.0,21315000000,4328000000.0,-2230000000.0,8039000000.0,8487000000.0,29802000000,255000000.0,,229000000.0,-329000000.0,,,,-329000000.0,155000000.0,-56000000.0,,-3000000.0,170000000.0,-51000000.0,0.0,85000000.0,34000000.0,336000000,2011-03-31,52.43999862670898,53.09000015258789,52.43999862670898,52.959999084472656,47.112388610839844,2691000.0
2011-06-30,2811000000.0,-1612000000.0,1199000000.0,-759000000.0,-759000000.0,,,440000000.0,-88000000.0,-59000000.0,352000000,,352000000,-87000000.0,265000000,2000000.0,258000000,258000000,815000000.0,2785000000.0,,15931000000.0,798000000.0,249000000.0,13518000000.0,14565000000.0,30496000000,13317000000.0,52000000.0,13987000000.0,4479000000.0,8044000000.0,22031000000,4332000000.0,-2469000000.0,8233000000.0,8465000000.0,30496000000,267000000.0,,198000000.0,-201000000.0,,,,-201000000.0,264000000.0,-43000000.0,,-84000000.0,10000000.0,-49000000.0,-688000000.0,77000000.0,-666000000.0,-382000000,2011-06-30,50.72999954223633,51.36000061035156,50.459999084472656,51.29999923706055,45.76592254638672,1853500.0
2011-09-30,2723000000.0,-1634000000.0,1089000000.0,-761000000.0,-761000000.0,,,328000000.0,-36000000.0,-56000000.0,292000000,,292000000,-84000000.0,208000000,,198000000,198000000,902000000.0,2745000000.0,,14500000000.0,773000000.0,254000000.0,13218000000.0,14245000000.0,28745000000,11926000000.0,163000000.0,12765000000.0,4415000000.0,7701000000.0,20466000000,4361000000.0,-2605000000.0,8377000000.0,8279000000.0,28745000000,208000000.0,,188000000.0,-28000000.0,,,,-28000000.0,368000000.0,-52000000.0,,-6000000.0,-173000000.0,-50000000.0,-91000000.0,3000000.0,-177000000.0,-5000000,2011-09-30,41.599998474121094,42.4900016784668,41.38000106811523,41.97999954223633,37.56417846679688,4631200.0
